Transaction ID,Client ID,Merchant Name,Transaction Date,Amount,Description
1dfd885b-09b2-4fa9-b6ff-6fc67457a549,75279036-54b6-47c3-8f7d-870d222fad12,Rivera Ltd,2023-02-02 12:08:56,181.3769147794511,Often its such wrong scene third sometimes.
9b74808d-0eb0-4986-a145-a01233a87b4b,102384da-6b66-4384-a8cd-1a27e2d6627f,"Wiggins, Morris and Cox",2023-03-06 01:36:25,94.99642344293629,Town couple religious.
1f893e28-9e9b-40c3-835e-b4cec0914a64,0817176f-8a73-4f7b-a4b7-14073be27da4,Lee-Myers,2023-05-15 16:42:10,78.80886366503732,Thank however picture goal force.
31b68092-a73a-43fc-8ccb-b8a54b76e839,7afafd76-57ba-4eb1-87f8-f009ea9d9cb6,Benton Ltd,2023-01-11 03:12:47,274.7934335836507,Strong free alone now baby once mouth.
a018a180-a05e-4d63-bdc7-e7af2a352e7d,828772af-30e9-437a-bd35-5fe10c9db5f8,"Turner, Wallace and Taylor",2023-05-12 23:29:41,388.31656918514847,Account act edge interest information his military.
b5d13068-78e1-451f-aeaa-ee0d129bacff,7d159cd6-7d2e-4240-92e5-4a7e6fdde77a,"Hernandez, Jones and Fernandez",2023-03-22 11:16:45,460.39394451117926,Animal here many fear letter stop our.
20436900-af57-445d-bb5f-7fdf2c4b5659,1a4f717e-dfda-4d06-8eeb-d0a294aaf9b9,"Hill, Richards and Hooper",2023-02-14 10:58:41,384.80226301118586,Minute particularly economy goal Mrs.
cc3bd11c-0e61-429c-9a72-70ba485292ad,84133b04-18f8-4d35-b481-4657c76f18e2,Nelson-Morrow,2023-03-17 17:40:24,231.39405146685652,Practice model knowledge include medical dinner.
eedad7b4-0ff2-4afc-8dfe-da78760569ea,e807cce2-5503-41e7-92f0-50aca1e51752,Brown Inc,2023-01-19 16:03:25,290.26442599281535,Catch safe us safe nice deep.
55749dc3-c8ea-47d0-8667-744b7cff6494,eb14576d-6997-494c-a0ec-c5a5bf961203,Smith and Sons,2023-07-24 03:22:20,399.53181874869443,Seven local guess blue experience skill.
