Transaction ID,Client ID,Merchant Name,Transaction Date,Amount,Description
32d28715-11b4-48d7-b43f-71570eaaae35,d526070e-0fc6-4dec-ac01-d1e0a97169b2,"Rhodes, Petersen and Miller",2023-02-10 19:34:56,243.40384554452493,Spring believe build suffer.
5a56b9bb-5ac7-414a-b5f4-a30a81198579,0320be88-a39c-494a-baba-44157df36268,Harper Ltd,2023-06-02 17:42:34,235.26835467952623,Boy once final around sea indicate.
b864583f-452b-4eb1-ac54-e579800fc8c2,2ec88093-c417-42b6-845d-179e5e521ab1,Perkins-Hopkins,2023-03-16 11:40:09,168.41939460275918,You how appear control six us.
0f159b89-579d-43ef-b12a-a38bfce0500b,69eeac2b-7b20-4311-b260-72bde92c628f,Carney PLC,2023-02-16 17:45:10,355.93813518271304,Wear lot simple gas look former minute.
05757ee7-f351-4d21-9b91-4af6ff021f67,cd5b30c4-f207-43af-9a0b-5546b87795fd,"Boyd, Sharp and Lara",2023-04-28 15:59:02,135.6762832442693,Mention hundred former writer technology.
6bf52698-c7c8-42be-beeb-480c96f5e51e,9d91f067-175f-4c22-aab0-133f7355f12e,Johnson Inc,2023-05-11 22:45:45,232.22413304345395,Start single church one.
023b651f-27de-4492-af6d-4793b7d64449,d9deadf0-7bd2-455d-9669-615e04b06b1a,Jordan-Sanchez,2023-06-25 11:29:13,137.9997911928533,Or value relationship.
3b5f55ff-79b4-4a45-9205-9431cdd703d7,3aeb6ae4-1463-4de3-a4a4-063710cf0b75,Craig Inc,2023-07-04 01:36:30,235.9317585529937,Ahead onto edge property ready.
00db7cb9-cf3c-4c66-a765-4cac3569b573,75832012-8f5e-45bc-bb32-d652dab27fb3,Grimes LLC,2023-06-14 13:14:16,15.147218173310172,Cup avoid matter support alone.
7d1436e4-d845-4610-be94-c36096e3a62c,e37dffd7-ab76-4c68-90b0-661d2a4ae481,Allen-Roberts,2023-03-01 15:14:23,68.1853581954882,New nation where large full conference music.
7494ac01-dade-4bb6-8f1c-c37f41932b6e,7ceef0b4-e84f-48c3-8c27-121408ae4e75,"Ford, Hall and James",2023-06-02 14:38:20,40.46316969654721,Knowledge police budget guess increase eight.
6e946bfd-1188-4bac-9365-6fbdbe25679f,0eb0e56a-7d50-4b52-b275-ed41a673cb9e,Willis-Hardy,2023-01-18 11:03:19,18.592993015123223,Often defense cup particularly effect.
ce10c72e-1b5c-480c-b438-6d555870c175,d980075a-9546-4c5a-bba9-481c2e6f617b,"Ortiz, Pennington and Rodriguez",2023-08-04 05:03:57,274.3565967114319,Know parent sign war.
ee95aba9-4286-4596-ba06-a7890e8f211e,9d947c13-0d9c-4949-b3f0-9798c42d4ca7,"Hays, Grant and Sanchez",2023-01-02 06:40:13,360.30141241796736,Father teach economic seat night candidate though.
908fbb44-9301-4063-945d-bffc6f11512c,d5381976-2dba-4eaa-8bb0-69a6e39db432,Schultz-Williams,2023-06-17 07:50:28,498.7425238885605,Important mind let paper ground charge already they.
a9c03ae2-74e0-4a1a-9ee2-95b88999cb53,d7a44ab7-32db-462a-9d52-dfeb4bab03de,Garcia-Carter,2023-05-09 05:30:37,259.383673433191,Bit subject worker project project our public.
a1bb6a1f-7a70-4a39-b82f-5509066dcb40,c39192b1-8330-4005-86dd-c235550e3a85,Garcia Group,2023-05-16 13:06:38,475.57503553081324,Part meet draw his agent country.
df7da873-10a2-4cd5-a85c-2b9edb8e11a5,74f6240b-ad35-475f-af3b-2dd0e8aea658,Parker and Sons,2023-02-21 14:56:01,335.31394046780235,Former water race record.
d595b4c6-327c-47f7-9390-f446efe81efa,d03e8c88-2632-4bad-92c6-0694fd386a7f,Dickerson PLC,2023-07-09 01:14:16,376.70911051505493,Six forget gun top.
7aaac8cf-400a-4aaf-af19-1ad529bfeecb,1d87f36d-ed9c-4af3-9995-89b09f2f5dd6,Brown-Webb,2023-04-06 09:18:27,202.20888655691195,Yourself she college kind everybody know.
107c7104-f624-4574-a01d-b66a0adb20fe,48729322-f483-45a3-83ef-9836b18726a6,Perkins-Hopkins,2023-01-11 08:29:13,288.2221258995187,During notice least.
039488c0-9a72-4a30-8ff6-03dfec2f86bc,14438e41-0fa6-4e79-9409-d6a33fb53f84,"Skinner, Cook and Reed",2023-02-25 05:27:41,240.9387280474981,Remain year usually week.
a40e6e27-b8d8-4c25-85f3-a68c4d491057,d5ad9a34-18e4-476a-9b50-aa216b36f483,Jones and Sons,2023-05-18 08:20:57,146.30083747889523,Small candidate seven myself.
85fe79e6-e262-417f-9da6-d43f5be00df2,68541c7c-20fd-42c3-a9b7-130ae091295a,"Mcbride, Johnson and Peterson",2023-03-30 13:37:12,154.16550308504588,Bag drop animal agent available hope.
c1af3be5-28cd-4125-8295-9674bc73fbf5,f99eb269-8c2c-46b0-a812-c6463562fe90,Garcia Ltd,2023-02-12 21:14:32,208.37066095947654,Identify happy resource hear property door.
9ef59fb3-8231-4cfc-b8ed-ae79efcafc49,c5b9584c-aec3-4c62-9670-0d53e9af562c,"Mendoza, Fisher and Jimenez",2023-04-01 00:18:21,442.61257061771437,Action particular everything fight soon year enough.
e4d18f09-2592-4bbc-b439-47d37b757c63,4acdbb17-894c-4639-812c-6207d45c39cb,"Pitts, Bryant and Bowen",2023-05-16 17:50:13,198.9006308413481,White my first amount view.
eb850ca0-d8a8-485c-8671-826177dc486d,e53d17c9-f8ed-43b6-973c-c9789ed1c018,Roberts-Knight,2023-02-18 09:49:01,51.58950259282482,Always feeling city movie throughout.
62b58176-3070-4834-9a3a-6de901d3045e,fc5ec3da-f4a6-42d0-8584-84a30f896905,Arias Ltd,2023-05-01 19:10:50,365.97699513067636,Among peace common once beautiful operation instead.
f752786a-500b-4b50-aa55-1845dbaee5dd,c8ddbe10-a59e-40b4-a69f-c3320354181a,Jones-Jackson,2023-03-16 05:01:35,213.48959783563507,To game always this we decide.
